id,year,statename,pcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
1584,2001,Tamil Nadu,TIRUPPUR,NAGARAJAN .S,M,IND,1878,,212372,3,0.88%,0,OTHERS
1585,2001,Tamil Nadu,TIRUPPUR,SHANMUGAM. P,M,IND,1060,,212372,4,0.50%,0,OTHERS
1586,2001,Tamil Nadu,TIRUPPUR,DURAISAMY. R,M,IND,809,,212372,5,0.38%,0,OTHERS
1587,2001,Tamil Nadu,TIRUPPUR,SIVASUBRAMANIAM. K.,M,IND,733,,212372,6,0.35%,0,OTHERS
1588,2001,Tamil Nadu,TIRUTHURAIPUNDI,PALANISAMY . G ,M,CPI,73451,,129416,1,56.76%,1,ADMK
1589,2001,Tamil Nadu,TIRUTHURAIPUNDI,POONGUZHALI. M,F,DMK,48392,,129416,2,37.39%,0,DMK
1590,2001,Tamil Nadu,TIRUTHURAIPUNDI,VEERAMANI. C,M,MDMK,4959,,129416,3,3.83%,0,OTHERS
1591,2001,Tamil Nadu,TIRUTHURAIPUNDI,ANBALAGAN.N.,M,IND,2614,,129416,4,2.02%,0,OTHERS
1592,2001,Tamil Nadu,TIRUTTANI,RAVIRAJ G,M,PMK,58549,,117063,1,50.01%,1,ADMK
1593,2001,Tamil Nadu,TIRUTTANI,SHIVAJI E.A.P.,M,DMK,44675,,117063,2,38.16%,0,DMK
1594,2001,Tamil Nadu,TIRUTTANI,MAHALINGAM .G,M,PB,7412,,117063,3,6.33%,0,OTHERS
1595,2001,Tamil Nadu,TIRUTTANI,DHARMAN N.S.,M,MDMK,2406,,117063,4,2.06%,0,OTHERS
1596,2001,Tamil Nadu,TIRUTTANI,JAYARAMAN .A,M,IND,1499,,117063,5,1.28%,0,OTHERS
1597,2001,Tamil Nadu,TIRUTTANI,MUNIRATHINAM .D,M,IND,877,,117063,6,0.75%,0,OTHERS
1598,2001,Tamil Nadu,TIRUTTANI,CHANDRA BABU .P.S,M,IND,674,,117063,7,0.58%,0,OTHERS
1599,2001,Tamil Nadu,TIRUTTANI,THIYAGARAJAN .T.M,M,IND,526,,117063,8,0.45%,0,OTHERS
1600,2001,Tamil Nadu,TIRUTTANI,PERUMAL .V,M,IND,230,,117063,9,0.20%,0,OTHERS
1601,2001,Tamil Nadu,TIRUTTANI,SUNDARA RAJAN .M,M,RPI,215,,117063,10,0.18%,0,OTHERS
1602,2001,Tamil Nadu,TIRUVADANAI,RAMASAMY K.R.,M,TMC(M),43536,,111294,1,39.12%,1,ADMK
1603,2001,Tamil Nadu,TIRUVADANAI,JONES RUSSO,F,IND,41232,,111294,2,37.05%,0,OTHERS
1604,2001,Tamil Nadu,TIRUVADANAI,RAJENDRAN S,M,MADMK,22392,,111294,3,20.12%,0,DMK
1605,2001,Tamil Nadu,TIRUVADANAI,MOHAMED MUSTHAFA H ,M,MDMK,2866,,111294,4,2.58%,0,OTHERS
1606,2001,Tamil Nadu,TIRUVADANAI,PANDIYARAJAN D,M,CPI(ML)(L),751,,111294,5,0.67%,0,OTHERS
1607,2001,Tamil Nadu,TIRUVADANAI,SEKAR K,M,LJNSP,517,,111294,6,0.46%,0,OTHERS
1608,2001,Tamil Nadu,TIRUVAIYARU,AYYARU VANDAYAR K. ,M,ADMK,55579,,101519,1,54.75%,1,ADMK
1609,2001,Tamil Nadu,TIRUVAIYARU,CHANDRASEKARAN DURAI,M,DMK,39890,,101519,2,39.29%,0,DMK
1610,2001,Tamil Nadu,TIRUVAIYARU,MADHIYAZHAGAN.R,M,MDMK,3420,,101519,3,3.37%,0,OTHERS
1611,2001,Tamil Nadu,TIRUVAIYARU,VIJAYAN .U,M,IND,1491,,101519,4,1.47%,0,OTHERS
1612,2001,Tamil Nadu,TIRUVAIYARU,CHANDRASEKARAN. M,M,IND,636,,101519,5,0.63%,0,OTHERS
1613,2001,Tamil Nadu,TIRUVAIYARU,MANIKKODI.K TMT,F,JD(S),503,,101519,6,0.50%,0,OTHERS
1614,2001,Tamil Nadu,TIRUVALLUR,SUDHARSANAM.D,M,TMC(M),47899,,111648,1,42.90%,1,ADMK
1615,2001,Tamil Nadu,TIRUVALLUR,RAJENDIRAN. V.G.,M,PNK,27948,,111648,2,25.03%,0,DMK
1616,2001,Tamil Nadu,TIRUVALLUR,SACHITHANANDHAM .T.S.,M,IND,18145,,111648,3,16.25%,0,OTHERS
1617,2001,Tamil Nadu,TIRUVALLUR,VIJAYAKUMAR P.,M,IND,6090,,111648,4,5.45%,0,OTHERS
1618,2001,Tamil Nadu,TIRUVALLUR,JAMES.E,M,PB,4738,,111648,5,4.24%,0,OTHERS
1619,2001,Tamil Nadu,TIRUVALLUR,VASU. R.,M,MDMK,2674,,111648,6,2.40%,0,OTHERS
1620,2001,Tamil Nadu,TIRUVALLUR,KARUNAKARAN .C,M,IND,1141,,111648,7,1.02%,0,OTHERS
1621,2001,Tamil Nadu,TIRUVALLUR,PAULDOSS ALIAS MURUGESAN ,M,IND,815,,111648,8,0.73%,0,OTHERS
1622,2001,Tamil Nadu,TIRUVALLUR,MOHANA.R,F,IND,696,,111648,9,0.62%,0,OTHERS
1623,2001,Tamil Nadu,TIRUVALLUR,PALANIVEL.R.,M,IND,591,,111648,10,0.53%,0,OTHERS
1624,2001,Tamil Nadu,TIRUVALLUR,VARALAKSHMI.S,F,IND,563,,111648,11,0.50%,0,OTHERS
1625,2001,Tamil Nadu,TIRUVALLUR,VASU.N.S.,M,IND,348,,111648,12,0.31%,0,OTHERS
1626,2001,Tamil Nadu,TIRUVANNAMALAI,PITCHANDI.K.,M,DMK,64115,,134281,1,47.75%,1,DMK
1627,2001,Tamil Nadu,TIRUVANNAMALAI,SHUNMUGASUNDARAM.M.,M,PMK,60025,,134281,2,44.70%,0,ADMK
1628,2001,Tamil Nadu,TIRUVANNAMALAI,SENTHIL KUMAR.J.,M,MDMK,3140,,134281,3,2.34%,0,OTHERS
1629,2001,Tamil Nadu,TIRUVANNAMALAI,MOHAN.K.,M,IND,2518,,134281,4,1.88%,0,OTHERS
1630,2001,Tamil Nadu,TIRUVANNAMALAI,ALAGESAN.A.,M,IND,1720,,134281,5,1.28%,0,OTHERS
1631,2001,Tamil Nadu,TIRUVANNAMALAI,ARUMUGAM.P..,M,IND,764,,134281,6,0.57%,0,OTHERS
1632,2001,Tamil Nadu,TIRUVANNAMALAI,PAKKIRI.T.,M,IND,695,,134281,7,0.52%,0,OTHERS
1633,2001,Tamil Nadu,TIRUVANNAMALAI,ANBALAGAN.G.,M,IND,494,,134281,8,0.37%,0,OTHERS
1634,2001,Tamil Nadu,TIRUVANNAMALAI,MUNUSAMY.M.,M,IND,454,,134281,9,0.34%,0,OTHERS
1635,2001,Tamil Nadu,TIRUVANNAMALAI,THANGASALAI. C,M,IND,356,,134281,10,0.27%,0,OTHERS
1636,2001,Tamil Nadu,TIRUVARUR,ASOKAN. A.,M,DMK,58425,,122652,1,47.63%,1,DMK
